y____lag7,y____lag6,y____lag5,y____lag4,y____lag3,y____lag2,y____lag1,y,date
611822096,611822096,611822096,611822096,611822096,611822096,611822096,639702178,2018-07-01
639702178,639702178,639702178,639702178,639702178,639702178,639702178,771340100,2018-07-02
771340100,771340100,771340100,771340100,771340100,771340100,771340100,781221779,2018-07-03
781221779,781221779,781221779,781221779,781221779,781221779,781221779,779446174,2018-07-04
779446174,779446174,779446174,779446174,779446174,779446174,779446174,761984607,2018-07-05
761984607,761984607,761984607,761984607,761984607,761984607,761984607,727844362,2018-07-06
727844362,727844362,727844362,727844362,727844362,727844362,727844362,605339896,2018-07-07
605339896,605339896,605339896,605339896,605339896,605339896,605339896,628594280,2018-07-08
628594280,628594280,628594280,628594280,628594280,628594280,628594280,778308404,2018-07-09
778308404,778308404,778308404,778308404,778308404,778308404,778308404,847482386,2018-07-10
847482386,847482386,847482386,847482386,847482386,847482386,847482386,877374071,2018-07-11
877374071,877374071,877374071,877374071,877374071,877374071,877374071,838083846,2018-07-12
838083846,838083846,838083846,838083846,838083846,838083846,838083846,779722825,2018-07-13
779722825,779722825,779722825,779722825,779722825,779722825,779722825,619661247,2018-07-14
619661247,619661247,619661247,619661247,619661247,619661247,619661247,625760568,2018-07-15
625760568,625760568,625760568,625760568,625760568,625760568,625760568,765259673,2018-07-16
765259673,765259673,765259673,765259673,765259673,765259673,765259673,765717798,2018-07-17
765717798,765717798,765717798,765717798,765717798,765717798,765717798,771081983,2018-07-18
771081983,771081983,771081983,771081983,771081983,771081983,771081983,770475604,2018-07-19
770475604,770475604,770475604,770475604,770475604,770475604,770475604,734568493,2018-07-20
734568493,734568493,734568493,734568493,734568493,734568493,734568493,634490302,2018-07-21
634490302,634490302,634490302,634490302,634490302,634490302,634490302,609365715,2018-07-22
609365715,609365715,609365715,609365715,609365715,609365715,609365715,768122942,2018-07-23
768122942,768122942,768122942,768122942,768122942,768122942,768122942,762565544,2018-07-24
762565544,762565544,762565544,762565544,762565544,762565544,762565544,744879695,2018-07-25
744879695,744879695,744879695,744879695,744879695,744879695,744879695,724998776,2018-07-26
724998776,724998776,724998776,724998776,724998776,724998776,724998776,665618474,2018-07-27
665618474,665618474,665618474,665618474,665618474,665618474,665618474,549072129,2018-07-28
549072129,549072129,549072129,549072129,549072129,549072129,549072129,571595604,2018-07-29
571595604,571595604,571595604,571595604,571595604,571595604,571595604,714816921,2018-07-30
714816921,714816921,714816921,714816921,714816921,714816921,714816921,715613466,2018-07-31
715613466,715613466,715613466,715613466,715613466,715613466,715613466,739648894,2018-08-01
739648894,739648894,739648894,739648894,739648894,739648894,739648894,738054427,2018-08-02
738054427,738054427,738054427,738054427,738054427,738054427,738054427,699314187,2018-08-03
699314187,699314187,699314187,699314187,699314187,699314187,699314187,563077908,2018-08-04
563077908,563077908,563077908,563077908,563077908,563077908,563077908,566669508,2018-08-05
566669508,566669508,566669508,566669508,566669508,566669508,566669508,725178867,2018-08-06
725178867,725178867,725178867,725178867,725178867,725178867,725178867,705138223,2018-08-07
705138223,705138223,705138223,705138223,705138223,705138223,705138223,720787419,2018-08-08
720787419,720787419,720787419,720787419,720787419,720787419,720787419,705298120,2018-08-09
705298120,705298120,705298120,705298120,705298120,705298120,705298120,692521474,2018-08-10
692521474,692521474,692521474,692521474,692521474,692521474,692521474,605802633,2018-08-11
605802633,605802633,605802633,605802633,605802633,605802633,605802633,612579010,2018-08-12
612579010,612579010,612579010,612579010,612579010,612579010,612579010,745886486,2018-08-13
745886486,745886486,745886486,745886486,745886486,745886486,745886486,747488124,2018-08-14
747488124,747488124,747488124,747488124,747488124,747488124,747488124,729568263,2018-08-15
729568263,729568263,729568263,729568263,729568263,729568263,729568263,728151773,2018-08-16
728151773,728151773,728151773,728151773,728151773,728151773,728151773,722599825,2018-08-17
722599825,722599825,722599825,722599825,722599825,722599825,722599825,608940765,2018-08-18
608940765,608940765,608940765,608940765,608940765,608940765,608940765,611955225,2018-08-19
611955225,611955225,611955225,611955225,611955225,611955225,611955225,746695054,2018-08-20
746695054,746695054,746695054,746695054,746695054,746695054,746695054,774265704,2018-08-21
774265704,774265704,774265704,774265704,774265704,774265704,774265704,757031254,2018-08-22
757031254,757031254,757031254,757031254,757031254,757031254,757031254,751111179,2018-08-23
751111179,751111179,751111179,751111179,751111179,751111179,751111179,726293590,2018-08-24
726293590,726293590,726293590,726293590,726293590,726293590,726293590,698712600,2018-08-25
698712600,698712600,698712600,698712600,698712600,698712600,698712600,743250210,2018-08-26
743250210,743250210,743250210,743250210,743250210,743250210,743250210,854902757,2018-08-27
854902757,854902757,854902757,854902757,854902757,854902757,854902757,899158241,2018-08-28
899158241,899158241,899158241,899158241,899158241,899158241,899158241,850694111,2018-08-29
850694111,850694111,850694111,850694111,850694111,850694111,850694111,853704707,2018-08-30
853704707,853704707,853704707,853704707,853704707,853704707,853704707,900090625,2018-08-31
900090625,900090625,900090625,900090625,900090625,900090625,900090625,747377329,2018-09-01
747377329,747377329,747377329,747377329,747377329,747377329,747377329,735626365,2018-09-02
735626365,735626365,735626365,735626365,735626365,735626365,735626365,871965830,2018-09-03
871965830,871965830,871965830,871965830,871965830,871965830,871965830,838767880,2018-09-04
838767880,838767880,838767880,838767880,838767880,838767880,838767880,818481664,2018-09-05
818481664,818481664,818481664,818481664,818481664,818481664,818481664,833238706,2018-09-06
833238706,833238706,833238706,833238706,833238706,833238706,833238706,814152053,2018-09-07
814152053,814152053,814152053,814152053,814152053,814152053,814152053,719750337,2018-09-08
719750337,719750337,719750337,719750337,719750337,719750337,719750337,707515562,2018-09-09
707515562,707515562,707515562,707515562,707515562,707515562,707515562,814175007,2018-09-10
814175007,814175007,814175007,814175007,814175007,814175007,814175007,797173218,2018-09-11
797173218,797173218,797173218,797173218,797173218,797173218,797173218,802071644,2018-09-12
802071644,802071644,802071644,802071644,802071644,802071644,802071644,893154248,2018-09-13
893154248,893154248,893154248,893154248,893154248,893154248,893154248,866566735,2018-09-14
